distance_km,attenuation_db,best_wavelength_nm,min_ber
1.0,0.155,1550,0.0
1.0,1.537,1550,0.0
1.0,4.285,1550,0.0
1.0,10.115,1550,0.00169498
1.0,15.55,1550,0.0661601
1.0,33.961,1550,0.492494
1.0,80.904,1550,0.499492
1.5,0.155,1550,0.0
1.5,1.537,1310,0.0
1.5,4.285,1550,0.00136971
1.5,10.115,1550,0.160787
1.5,15.55,1550,0.417699
1.5,33.961,1310,0.499534
1.5,80.904,1550,0.499415
2.0,0.155,850,2.63e-06
2.0,1.537,1550,0.000478578
2.0,4.285,1550,0.0413442
2.0,10.115,1550,0.408396
2.0,15.55,1310,0.497261
2.0,33.961,1310,0.499577
2.0,80.904,850,0.499491
2.5,0.155,1310,0.000156387
2.5,1.537,1550,0.00725092
2.5,4.285,850,0.161579
2.5,10.115,850,0.489511
2.5,15.55,1310,0.499788
2.5,33.961,850,0.499038
2.5,80.904,1310,0.499378
3.0,0.155,1550,0.00123265
3.0,1.537,1550,0.0326375
3.0,4.285,1550,0.300638
3.0,10.115,1550,0.498631
3.0,15.55,1310,0.499735
3.0,33.961,850,0.499645
3.0,80.904,1550,0.499512
3.5,0.155,850,0.00572571
3.5,1.537,1550,0.0816816
3.5,4.285,1550,0.406867
3.5,10.115,1310,0.499497
3.5,15.55,1310,0.499486
3.5,33.961,850,0.499162
3.5,80.904,1310,0.500096
4.0,0.155,1550,0.013553
4.0,1.537,850,0.145
4.0,4.285,1550,0.455237
4.0,10.115,850,0.499344
4.0,15.55,1550,0.499365
4.0,33.961,1550,0.500119
4.0,80.904,850,0.49905
